Red Pi1,Red Pm2,Red Pc2,Blue Sc2,Blue Sm1,Red Pc1,Red Pi2,Blue Sm2,Red Pm1,Blue Sc1
100.0,100.0,150.0,149.01351468619907,100.0,150.0,100.0,100.0,100.0,149.25620876944254
100.0,100.0,150.0,149.43458112428266,100.0,150.0,100.0,100.0,100.0,149.2763068188952
100.0,100.0,150.0,149.17659390028896,100.0,150.0,100.0,100.0,100.0,149.15312293426922
100.0,100.0,150.0,149.3043750999952,100.0,150.0,100.0,100.0,100.0,148.99059788205278
100.0,100.0,150.0,149.01033957401938,100.0,150.0,100.0,100.0,100.0,149.42532426499844
100.0,100.0,150.0,149.4158030909284,100.0,150.0,100.0,100.0,100.0,149.06925994860637
100.0,100.0,150.0,149.15240605483544,100.0,150.0,100.0,100.0,100.0,149.29053687774515
100.0,100.0,150.0,149.10989889447995,100.0,150.0,100.0,100.0,100.0,149.43277219458318
100.0,100.0,150.0,149.25273360202803,100.0,150.0,100.0,100.0,100.0,149.1209946217192
100.0,100.0,150.0,149.3845989299304,100.0,150.0,100.0,100.0,100.0,149.07516123356564
100.0,100.0,150.0,149.0726457403239,100.0,150.0,100.0,100.0,100.0,149.12360840766482
100.0,100.0,150.0,149.2822719450885,100.0,150.0,100.0,100.0,100.0,149.37304690364905
100.0,100.0,150.0,149.24046619787387,100.0,150.0,100.0,100.0,100.0,149.22270022388133
100.0,100.0,150.0,149.26255613717746,100.0,150.0,100.0,100.0,100.0,149.13054258095502
100.0,100.0,150.0,149.2329544919791,100.0,150.0,100.0,100.0,100.0,149.14804020748502
100.0,100.0,150.0,149.19104726725598,100.0,150.0,100.0,100.0,100.0,149.13960790808244
100.0,100.0,150.0,149.1199707883007,100.0,150.0,100.0,100.0,100.0,149.08144706270102
100.0,100.0,150.0,149.0656342824151,100.0,150.0,100.0,100.0,100.0,149.02164788049387
100.0,100.0,150.0,149.2873001870325,100.0,150.0,100.0,100.0,100.0,149.27131339559438
