Red Secondary,Blue Primary
91.90866099983617,98.88410909463899
91.31319122973292,98.7942375083755
92.18320584756937,98.74079989277541
94.53615041524452,98.65948924054176
93.9580420657476,99.0084869048798
93.39707657817267,99.17321984636139
92.8337740765169,99.12262868276132
93.88596730424572,99.06735335509107
94.79203749469416,98.99508634447771
94.19515893000516,99.16688241904855
93.48387552411205,99.08373764599445
94.42794422229578,98.99133790676744
95.41961657863986,98.89505052063109
94.88162980346175,98.83023559872088
94.23349371980187,99.19092211299757
95.00500481120866,99.10837438134133
94.30851825780529,99.01218807592993
93.71510142661391,99.1323819773873
93.0763567073762,99.0304307922885
92.42185271948355,99.15658521510053
91.72014025529297,99.06503099994521
91.15047818586459,98.96572803086407
91.93958095815482,98.87979149452211
91.52956327888157,99.04909262206563
92.53819877005868,99.18104250886643
92.0201360537375,99.3390666229006
92.83983944504908,99.24097321084507
92.11478767002859,99.38523367977916
91.55505280573219,99.29704773403675
90.84098187113834,99.17674239415372
89.73141326463221,99.04450754692678
88.80651448076631,98.90388135569653
87.79619083103927,98.81696549066355
88.22718266449766,98.72701364409333
89.09709133699391,98.63219380316767
88.51026688709042,99.00544044416885
87.89174128279603,98.92281105521674
88.89741682049292,98.82190439584387
91.27685326961566,98.72276074193836
90.53486578652773,98.62963973440739
89.90700507521369,98.54358707586107
90.83939892155352,98.67292444885614
91.8292704957618,98.60855882836722
92.66323770594673,98.53139247618584
93.80808998999132,98.462573718043
92.8526689224995,98.59211876487069
92.0085195887644,98.4998115494283
90.98012818176856,98.64188474150714
90.17591307448285,98.77317455814693
90.96646154799049,98.68904971819029
91.99114617100537,99.08797657941929
91.0972223550727,98.98661425060217
90.15559186276052,98.89070322620424
89.23543202518503,99.0192607883996
90.32523739452834,98.92671398919693
89.48117843734371,98.80879475703935
90.76848968211766,98.74467638711543
94.04738540795749,98.67760615004879
93.47082226547195,98.60815228447005
92.51737191878956,98.52896240126027
93.68811886651633,98.66152443530255
92.77611099995626,98.59662711764578
91.66610572790398,98.50680339764045
90.59849198105134,98.63825219762046
89.24033116588215,98.53406007353658
88.18543084823244,98.91600611830074
89.231911428546,99.08043701060662
88.34336236517935,99.22231416576156
89.19913236039773,99.13077768946361
90.52888631832194,99.01418751114826
91.8446429580439,98.90802792319789
90.61333088763539,98.76473057164546
89.21685671258226,98.87501929489517
90.3250194280108,98.78105252707817
89.06188330399706,98.86057464072077
87.432723328872,98.75355795052904
85.91641853856487,98.88439769885002
84.2429240691826,98.73859080264742
85.03087192871071,98.61825057591005
83.82439369213505,98.74237993586962
85.37802175540264,98.913145144972
86.9410595181087,98.81043354138227
85.62341718196987,98.70264481472162
84.12863759912662,98.57658796140142
82.59083317766172,98.70206929559026
84.05541412918699,98.60052549668896
84.99229319140855,98.5305836161407
89.18522962136728,98.46958244329251
91.04056229165597,98.40777069034282
89.97063668389501,98.52580601499959
88.7081245969374,98.43968979841725
87.76628467000536,98.56900955005018
86.23052466066054,98.45674804898387
85.15956107900536,98.35006891301298
86.76769065270021,98.48039236058163
85.88081017839473,98.63350707560681
84.69908484592698,98.54577491284422
83.3798909319851,98.69936483370881
81.929163493791,98.56720746732526
80.38608242970358,98.92026982842627
79.17336812846231,99.32716745987712
83.57833766111143,99.23950077517446
82.23888746849045,99.16037075742318
84.14421621326557,99.09691663291565
86.04368217108623,98.99780629610277
88.47673187807777,98.9208908686523
86.69445876123584,98.84346713370815
84.58250952007641,98.96750228045637
82.72173482063069,98.8526554864946
81.0409845818667,98.77889264499824
86.93657122832941,98.95625836621697
89.82096586341635,99.12449145963406
88.34549189924448,99.01679563089986
86.81183080685803,98.94210206747107
89.03620160715103,98.86223241563683
87.44841771756332,98.98605785722094
85.32980911482113,98.88025731993639
83.58243136983039,98.80614458600418
81.27292720948167,98.98465508730756
83.20476559797187,98.91551222316704
81.32344403764075,98.82749472084309
78.58364367257339,98.76005039558478
77.03523412575078,99.2035907937292
79.36588738372602,99.13032550748676
77.47167322992523,99.06336519764174
79.30133050219692,99.00672895797162
81.71730890112929,98.92221449727585
83.38892721603804,98.85444403350124
80.33845679678015,98.77493991930116
82.12392665243469,98.69728870394681
78.8649380391641,98.60048916598089
82.29223375404766,98.78667293668417
80.700030392024,98.96723683220002
78.18102675604509,99.1534358839909
75.95708418648238,99.10644987488392
79.74771561220403,99.07145426846537
83.8411373133528,99.00657073695065
80.66551330400777,98.96014146650481
77.86648334703774,98.90186786989007
81.40431959919404,98.86374586053081
78.46751416423692,99.02860904596828
83.60687392736214,98.93957616738128
81.99172085567403,99.1102703423053
80.27009250608221,99.01990885606534
75.56904620327161,98.94475434849468
72.27475486465877,98.88134478936452
76.4590318760369,98.82267232352847
72.54676393231426,99.04103314325322
68.50551063943371,99.00241691329529
65.52748467586099,98.96541382231476
63.094172106497936,99.19222155719473
68.68175019220502,99.15825429409995
66.84174293714389,99.14518097047804
65.04814456677042,99.11845251658166
62.90719532091109,99.09118694679218
62.20099597177975,99.08287630858187
70.50306788170845,99.06403322777885
81.96330457614015,99.05565863826584
80.43605097600984,99.03837787259577
78.09769316497794,99.02288834176103
76.46647976724188,99.01240265499864
76.31936642650045,99.01240265499864
91.58323971180053,99.01240265499864
90.53337425628143,99.00307684991643
90.1507725095076,98.9843293528696
88.54940943216408,98.95611071665144
86.42529433217112,98.9451414749914
84.59475573524053,98.90476937064253
83.22001131099225,98.88668859542094
81.23421286019224,98.87347247234436
79.102186221822,98.85135494251944
77.47337147737434,98.8338270529536
73.78834947661139,98.80089412761787
69.78458021030359,98.7711354202748
65.06886926074343,98.73057878657058
62.25844317552071,98.7150895180736
75.43902650473689,98.705164394103
73.26230182719488,98.69028108041798
71.42481606878471,98.65788667423438
69.11884728480521,98.65259852202188
90.03926515770235,98.64642617250294
88.1247680652735,98.63423931440693
85.73822685480786,98.61822281276802
83.26080006805113,98.6136022801538
78.0521136716709,98.60610446838497
73.29650421827711,98.58558796768699
69.10127140842836,98.57774470113577
66.66666666666667,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
100.0,98.826678399876
