Blue Sm2,Blue Sc2,Blue Sc1,Red Pc2,Red Pm2,Blue Sm1,Red Pi2,Red Pc1,Red Pi1,Red Pm1
100.0,149.37097866384397,149.45358961873671,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.29629346770773,149.30369784171293,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.25347826364708,148.98198558671814,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.24012504302004,149.2943302835051,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.33206590352012,149.41656895605033,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.00317196546365,149.03504819905254,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.1832011616716,149.01841108890605,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.35144701135744,149.4241275545341,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.05219402447878,149.37408960663157,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.3137610798263,149.2696382034119,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.48826270580432,149.10849228689196,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.24771043687628,149.10252741175304,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.15070188330776,149.0422700849235,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.31391550938469,148.93397751570708,149.98702084590883,100.0,100.0,100.0,149.9682488553909,100.0,100.0
100.0,149.0872867942919,149.00501908082427,149.96630444409556,100.0,100.0,100.0,149.94319377213915,100.0,100.0
100.0,149.26457686362033,148.82965578828444,149.93131656849624,100.0,100.0,100.0,149.92179426325902,100.0,100.0
100.0,149.10036264909007,148.81626553477872,149.90882155549616,100.0,100.0,100.0,149.88982700522178,100.0,100.0
137.09447244372322,149.19672310586458,149.24708958676456,149.81220919802504,100.0,137.0970777033146,100.0,149.79594105553082,100.0,100.0
136.88643973569788,0,0,149.7687698929841,100.0,136.99659485759605,100.0,149.75523482066419,100.0,100.0
136.96897463772413,0,0,149.72918979692093,100.0,136.8981020415302,100.0,149.6737094499224,100.0,100.0
136.83907435480532,0,0,149.66713598581526,100.0,136.84867414483662,100.0,149.5767215599494,100.0,100.0
137.17894993220747,0,0,149.57935493166806,100.0,136.970232103573,100.0,149.45887867819775,100.0,100.0
136.9183059575609,0,0,149.5061972431165,100.0,136.65713013049262,100.0,149.36732999693885,100.0,100.0
136.9193194678242,0,0,149.4376380376635,100.0,136.3611368537891,100.0,149.28225641471334,100.0,100.0
136.8770801528866,0,0,149.35145959885085,100.0,136.4055320234635,100.0,149.18464813229627,100.0,100.0
136.72942080783096,0,0,149.24672808050914,100.0,136.7219176440228,100.0,149.1322399212813,100.0,100.0
136.9410919470973,0,0,149.14357806032507,100.0,136.59107080733247,100.0,149.06972611361388,100.0,100.0
136.7978205098751,0,0,149.0640568760546,100.0,136.78627316524006,100.0,149.01226243527833,100.0,100.0
137.05447459638816,0,0,149.00572563333878,100.0,136.79903716024063,100.0,148.94086085548645,100.0,100.0
136.89262337219307,0,0,148.96068448181106,100.0,136.6548313068971,100.0,148.8908846365609,100.0,100.0
136.82487097771713,0,0,148.89999845402284,100.0,136.53180479810553,100.0,148.8259803612197,100.0,100.0
136.87595856837885,0,0,148.82470798886638,100.0,136.58823772717105,100.0,148.7470292567889,100.0,100.0
136.78126861258986,0,0,148.7797026839708,100.0,136.51311879215524,100.0,148.69440052261183,100.0,100.0
136.9056154447173,0,0,148.74131897486546,100.0,136.8076937400262,100.0,148.64194518309122,100.0,100.0
136.82342396420165,0,0,148.71593208651086,100.0,136.6889800015608,100.0,148.6123250150518,100.0,100.0
136.73776596273373,0,0,148.69192694337062,100.0,136.57567366385862,100.0,148.59030106964303,100.0,100.0
136.85925938373194,0,0,148.64575840796334,100.0,136.68946054769629,100.0,148.54946536890137,100.0,100.0
